#1k,2f(k),3kw
8.755602643e-04,3.122783283e-01,2.246904801e-03
4.612700113e-03,3.122787169e-01,5.229063397e-03
1.133375687e-02,3.122807482e-01,8.212515093e-03
2.103620733e-02,3.122867030e-01,1.119144215e-02
3.371443550e-02,3.122998766e-01,1.416375736e-02
4.936090754e-02,3.123245910e-01,1.712763020e-02
6.796628638e-02,3.123662277e-01,2.008127492e-02
8.951945782e-02,3.124312456e-01,2.302292128e-02
1.140075427e-01,3.125273743e-01,2.595080916e-02
1.414159063e-01,3.126636004e-01,2.886318771e-02
1.717281678e-01,3.128503306e-01,3.175831581e-02
2.049262107e-01,3.130994351e-01,3.463446283e-02
2.409901933e-01,3.134242094e-01,3.748990963e-02
2.798985608e-01,3.138392155e-01,4.032294945e-02
3.216280586e-01,3.143600047e-01,4.313188899e-02
3.661537456e-01,3.150027664e-01,4.591504936e-02
4.134490096e-01,3.157839795e-01,4.867076708e-02
4.634855830e-01,3.167201457e-01,5.139739508e-02
5.162335598e-01,3.178276635e-01,5.409330370e-02
5.716614133e-01,3.191228634e-01,5.675688162e-02
6.297360152e-01,3.206221875e-01,5.938653686e-02
6.904226553e-01,3.223424731e-01,6.198069772e-02
7.536850621e-01,3.243012919e-01,6.453781370e-02
8.194854247e-01,3.265172990e-01,6.705635644e-02
8.877844152e-01,3.290105597e-01,6.953482066e-02
9.585412125e-01,3.318028350e-01,7.197172502e-02
1.031713526e+00,3.349178200e-01,7.436561301e-02
1.107257622e+00,3.383813384e-01,7.671505384e-02
1.185128350e+00,3.422215022e-01,7.901864330e-02
1.265279166e+00,3.464688478e-01,8.127500455e-02
1.347662166e+00,3.511564592e-01,8.348278901e-02
1.432228112e+00,3.563200875e-01,8.564067712e-02
1.518926458e+00,3.619982702e-01,8.774737914e-02
1.607705388e+00,3.682324531e-01,8.980163593e-02
1.698511839e+00,3.750671118e-01,9.180221969e-02
1.791291537e+00,3.825498671e-01,9.374793470e-02
1.885989030e+00,3.907315837e-01,9.563761805e-02
1.982547719e+00,3.996664386e-01,9.747014029e-02
2.080909892e+00,4.094119402e-01,9.924440616e-02
2.181016759e+00,4.200288755e-01,1.009593552e-01
2.282808488e+00,4.315811552e-01,1.026139624e-01
2.386224240e+00,4.441355203e-01,1.042072389e-01
2.491202204e+00,4.577610670e-01,1.057382323e-01
2.597679638e+00,4.725285376e-01,1.072060277e-01
2.705592901e+00,4.885093149e-01,1.086097477e-01
2.814877495e+00,5.057740499e-01,1.099485533e-01
2.925468102e+00,5.243908451e-01,1.112216445e-01
3.037298625e+00,5.444229088e-01,1.124282602e-01
3.150302223e+00,5.659255992e-01,1.135676793e-01
3.264411357e+00,5.889427817e-01,1.146392207e-01
3.379557825e+00,6.135024479e-01,1.156422441e-01
3.495672806e+00,6.396115832e-01,1.165761500e-01
3.612686899e+00,6.672503289e-01,1.174403801e-01
3.730530168e+00,6.963655801e-01,1.182344179e-01
3.849132179e+00,7.268642753e-01,1.189577889e-01
3.968422045e+00,7.586067879e-01,1.196100607e-01
4.088328470e+00,7.914009923e-01,1.201908434e-01
4.208779786e+00,8.249977526e-01,1.206997899e-01
4.329704003e+00,8.590887122e-01,1.211365961e-01
4.451028844e+00,8.933073304e-01,1.215010008e-01
4.572681797e+00,9.272340472e-01,1.217927863e-01
4.694590152e+00,9.604062290e-01,1.220117782e-01
4.816681045e+00,9.923331214e-01,1.221578455e-01
4.938881505e+00,1.022515436e+00,1.222309010e-01
5.061118495e+00,1.050468485e+00,1.222309010e-01
5.183318955e+00,1.075747080e+00,1.221578455e-01
5.305409848e+00,1.097969872e+00,1.220117782e-01
