#1k,2f(k),3kw
8.755602643e-04,3.122783289e-01,2.246904801e-03
4.612700113e-03,3.122787341e-01,5.229063397e-03
1.133375687e-02,3.122808515e-01,8.212515093e-03
2.103620733e-02,3.122870565e-01,1.119144215e-02
3.371443550e-02,3.123007723e-01,1.416375736e-02
4.936090754e-02,3.123264617e-01,1.712763020e-02
6.796628638e-02,3.123696206e-01,2.008127492e-02
8.951945782e-02,3.124367278e-01,2.302292128e-02
1.140075427e-01,3.125353427e-01,2.595080916e-02
1.414159063e-01,3.126739767e-01,2.886318771e-02
1.717281678e-01,3.128621473e-01,3.175831581e-02
2.049262107e-01,3.131103570e-01,3.463446283e-02
2.409901933e-01,3.134300793e-01,3.748990963e-02
2.798985608e-01,3.138337409e-01,4.032294945e-02
3.216280586e-01,3.143347017e-01,4.313188899e-02
3.661537456e-01,3.149472347e-01,4.591504936e-02
4.134490096e-01,3.156865116e-01,4.867076708e-02
4.634855830e-01,3.165685998e-01,5.139739508e-02
5.162335598e-01,3.176104750e-01,5.409330370e-02
5.716614133e-01,3.188300505e-01,5.675688162e-02
6.297360152e-01,3.202462252e-01,5.938653686e-02
6.904226553e-01,3.218789459e-01,6.198069772e-02
7.536850621e-01,3.237492846e-01,6.453781370e-02
8.194854247e-01,3.258795267e-01,6.705635644e-02
8.877844152e-01,3.282932701e-01,6.953482066e-02
9.585412125e-01,3.310155333e-01,7.197172502e-02
1.031713526e+00,3.340728737e-01,7.436561301e-02
1.107257622e+00,3.374935144e-01,7.671505384e-02
1.185128350e+00,3.413074818e-01,7.901864330e-02
1.265279166e+00,3.455467506e-01,8.127500455e-02
1.347662166e+00,3.502453993e-01,8.348278901e-02
1.432228112e+00,3.554397708e-01,8.564067712e-02
1.518926458e+00,3.611686373e-01,8.774737914e-02
1.607705388e+00,3.674733653e-01,8.980163593e-02
1.698511839e+00,3.743980736e-01,9.180221969e-02
1.791291537e+00,3.819897768e-01,9.374793470e-02
1.885989030e+00,3.902985042e-01,9.563761805e-02
1.982547719e+00,3.993773787e-01,9.747014029e-02
2.080909892e+00,4.092826390e-01,9.924440616e-02
2.181016759e+00,4.200735821e-01,1.009593552e-01
2.282808488e+00,4.318123970e-01,1.026139624e-01
2.386224240e+00,4.445638551e-01,1.042072389e-01
2.491202204e+00,4.583948152e-01,1.057382323e-01
2.597679638e+00,4.733734904e-01,1.072060277e-01
2.705592901e+00,4.895684183e-01,1.086097477e-01
2.814877495e+00,5.070470655e-01,1.099485533e-01
2.925468102e+00,5.258739897e-01,1.112216445e-01
3.037298625e+00,5.461084808e-01,1.124282602e-01
3.150302223e+00,5.678015998e-01,1.135676793e-01
3.264411357e+00,5.909925471e-01,1.146392207e-01
3.379557825e+00,6.157043124e-01,1.156422441e-01
3.495672806e+00,6.419385993e-01,1.165761500e-01
3.612686899e+00,6.696700783e-01,1.174403801e-01
3.730530168e+00,6.988401146e-01,1.182344179e-01
3.849132179e+00,7.293502342e-01,1.189577889e-01
3.968422045e+00,7.610557391e-01,1.196100607e-01
4.088328470e+00,7.937600476e-01,1.201908434e-01
4.208779786e+00,8.272104963e-01,1.206997899e-01
4.329704003e+00,8.610964737e-01,1.211365961e-01
4.451028844e+00,8.950508045e-01,1.215010008e-01
4.572681797e+00,9.286552367e-01,1.217927863e-01
4.694590152e+00,9.614506444e-01,1.220117782e-01
4.816681045e+00,9.929521314e-01,1.221578455e-01
4.938881505e+00,1.022668623e+00,1.222309010e-01
5.061118495e+00,1.050125829e+00,1.222309010e-01
5.183318955e+00,1.074890788e+00,1.221578455e-01
5.305409848e+00,1.096595679e+00,1.220117782e-01
5.427318203e+00,1.114958423e+00,1.217927863e-01
5.548971156e+00,1.129797787e+00,1.215010008e-01
5.670295997e+00,1.141041374e+00,1.211365961e-01
5.791220214e+00,1.148725746e+00,1.206997899e-01
5.911671530e+00,1.152989021e+00,1.201908434e-01
6.031577955e+00,1.154057165e+00,1.196100607e-01
6.150867821e+00,1.152225862e+00,1.189577889e-01
6.269469832e+00,1.147840147e+00,1.182344179e-01
6.387313101e+00,1.141273858e+00,1.174403801e-01
6.504327194e+00,1.132910661e+00,1.165761500e-01
6.620442175e+00,1.123127821e+00,1.156422441e-01
6.735588643e+00,1.112283390e+00,1.146392207e-01
6.849697777e+00,1.100706968e+00,1.135676793e-01
6.962701375e+00,1.088693816e+00,1.124282602e-01
7.074531898e+00,1.076501885e+00,1.112216445e-01
7.185122505e+00,1.064351175e+00,1.099485533e-01
7.294407099e+00,1.052424848e+00,1.086097477e-01
7.402320362e+00,1.040871547e+00,1.072060277e-01
7.508797796e+00,1.029808454e+00,1.057382323e-01
7.613775760e+00,1.019324728e+00,1.042072389e-01
7.717191512e+00,1.009485034e+00,1.026139624e-01
7.818983241e+00,1.000332988e+00,1.009593552e-01
7.919090108e+00,9.918943792e-01,9.924440616e-02
8.017452281e+00,9.841801035e-01,9.747014029e-02
8.114010970e+00,9.771887854e-01,9.563761805e-02
8.208708463e+00,9.709090712e-01,9.374793470e-02
8.301488161e+00,9.653216163e-01,9.180221969e-02
8.392294612e+00,9.604007869e-01,8.980163593e-02
8.481073542e+00,9.561161069e-01,8.774737914e-02
8.567771888e+00,9.524334809e-01,8.564067712e-02
8.652337834e+00,9.493162221e-01,8.348278901e-02
8.734720834e+00,9.467259156e-01,8.127500455e-02
8.814871650e+00,9.446231394e-01,7.901864330e-02
8.892742378e+00,9.429680670e-01,7.671505384e-02
8.968286474e+00,9.417209694e-01,7.436561301e-02
9.041458788e+00,9.408426309e-01,7.197172502e-02
9.112215585e+00,9.402946936e-01,6.953482066e-02
9.180514575e+00,9.400399395e-01,6.705635644e-02
9.246314938e+00,9.400425187e-01,6.453781370e-02
9.309577345e+00,9.402681318e-01,6.198069772e-02
9.370263985e+00,9.406841703e-01,5.938653686e-02
9.428338587e+00,9.412598213e-01,5.675688162e-02
