#1k,2f(k),3kw
8.755602643e-04,3.122783253e-01,2.246904801e-03
4.612700113e-03,3.122786354e-01,5.229063397e-03
1.133375687e-02,3.122802571e-01,8.212515093e-03
2.103620733e-02,3.122850215e-01,1.119144215e-02
3.371443550e-02,3.122956164e-01,1.416375736e-02
4.936090754e-02,3.123156930e-01,1.712763020e-02
6.796628638e-02,3.123500903e-01,2.008127492e-02
8.951945782e-02,3.124051729e-01,2.302292128e-02
1.140075427e-01,3.124894808e-01,2.595080916e-02
1.414159063e-01,3.126142615e-01,2.886318771e-02
1.717281678e-01,3.127941503e-01,3.175831581e-02
2.049262107e-01,3.130475169e-01,3.463446283e-02
2.409901933e-01,3.133963112e-01,3.748990963e-02
2.798985608e-01,3.138652312e-01,4.032294945e-02
3.216280586e-01,3.144802272e-01,4.313188899e-02
3.661537456e-01,3.152665825e-01,4.591504936e-02
4.134490096e-01,3.162469780e-01,4.867076708e-02
4.634855830e-01,3.174399736e-01,5.139739508e-02
5.162335598e-01,3.188592137e-01,5.409330370e-02
5.716614133e-01,3.205134687e-01,5.675688162e-02
6.297360152e-01,3.224074220e-01,5.938653686e-02
6.904226553e-01,3.245429878e-01,6.198069772e-02
7.536850621e-01,3.269208926e-01,6.453781370e-02
8.194854247e-01,3.295422809e-01,6.705635644e-02
8.877844152e-01,3.324101597e-01,6.953482066e-02
9.585412125e-01,3.355305746e-01,7.197172502e-02
1.031713526e+00,3.389134733e-01,7.436561301e-02
1.107257622e+00,3.425732698e-01,7.671505384e-02
1.185128350e+00,3.465291530e-01,7.901864330e-02
1.265279166e+00,3.508052009e-01,8.127500455e-02
1.347662166e+00,3.554303645e-01,8.348278901e-02
1.432228112e+00,3.604383780e-01,8.564067712e-02
1.518926458e+00,3.658676389e-01,8.774737914e-02
1.607705388e+00,3.717610888e-01,8.980163593e-02
1.698511839e+00,3.781661133e-01,9.180221969e-02
1.791291537e+00,3.851344651e-01,9.374793470e-02
1.885989030e+00,3.927222074e-01,9.563761805e-02
1.982547719e+00,4.009896650e-01,9.747014029e-02
2.080909892e+00,4.100013654e-01,9.924440616e-02
2.181016759e+00,4.198259433e-01,1.009593552e-01
2.282808488e+00,4.305359767e-01,1.026139624e-01
2.386224240e+00,4.422077174e-01,1.042072389e-01
2.491202204e+00,4.549206654e-01,1.057382323e-01
2.597679638e+00,4.687569338e-01,1.072060277e-01
2.705592901e+00,4.838003350e-01,1.086097477e-01
2.814877495e+00,5.001351121e-01,1.099485533e-01
2.925468102e+00,5.178442265e-01,1.112216445e-01
3.037298625e+00,5.370071058e-01,1.124282602e-01
3.150302223e+00,5.576967526e-01,1.135676793e-01
3.264411357e+00,5.799761171e-01,1.146392207e-01
3.379557825e+00,6.038936557e-01,1.156422441e-01
3.495672806e+00,6.294780294e-01,1.165761500e-01
3.612686899e+00,6.567319568e-01,1.174403801e-01
3.730530168e+00,6.856253244e-01,1.182344179e-01
3.849132179e+00,7.160877807e-01,1.189577889e-01
3.968422045e+00,7.480011976e-01,1.196100607e-01
4.088328470e+00,7.811925712e-01,1.201908434e-01
4.208779786e+00,8.154281242e-01,1.206997899e-01
4.329704003e+00,8.504095498e-01,1.211365961e-01
4.451028844e+00,8.857734392e-01,1.215010008e-01
4.572681797e+00,9.210949191e-01,1.217927863e-01
4.694590152e+00,9.558963333e-01,1.220117782e-01
4.816681045e+00,9.896614000e-01,1.221578455e-01
4.938881505e+00,1.021854666e+00,1.222309010e-01
5.061118495e+00,1.051945322e+00,1.222309010e-01
5.183318955e+00,1.079433668e+00,1.221578455e-01
5.305409848e+00,1.103877854e+00,1.220117782e-01
5.427318203e+00,1.124918217e+00,1.217927863e-01
5.548971156e+00,1.142296590e+00,1.215010008e-01
5.670295997e+00,1.155868524e+00,1.211365961e-01
5.791220214e+00,1.165607278e+00,1.206997899e-01
5.911671530e+00,1.171599495e+00,1.201908434e-01
6.031577955e+00,1.174033556e+00,1.196100607e-01
6.150867821e+00,1.173182385e+00,1.189577889e-01
6.269469832e+00,1.169382915e+00,1.182344179e-01
6.387313101e+00,1.163014448e+00,1.174403801e-01
6.504327194e+00,1.154477883e+00,1.165761500e-01
6.620442175e+00,1.144177276e+00,1.156422441e-01
6.735588643e+00,1.132504623e+00,1.146392207e-01
6.849697777e+00,1.119828259e+00,1.135676793e-01
6.962701375e+00,1.106484811e+00,1.124282602e-01
7.074531898e+00,1.092774342e+00,1.112216445e-01
7.185122505e+00,1.078958182e+00,1.099485533e-01
7.294407099e+00,1.065258866e+00,1.086097477e-01
7.402320362e+00,1.051861596e+00,1.072060277e-01
7.508797796e+00,1.038916752e+00,1.057382323e-01
7.613775760e+00,1.026543015e+00,1.042072389e-01
7.717191512e+00,1.014830795e+00,1.026139624e-01
7.818983241e+00,1.003845703e+00,1.009593552e-01
7.919090108e+00,9.936319327e-01,9.924440616e-02
8.017452281e+00,9.842154174e-01,9.747014029e-02
8.114010970e+00,9.756067163e-01,9.563761805e-02
8.208708463e+00,9.678036026e-01,9.374793470e-02
8.301488161e+00,9.607933478e-01,9.180221969e-02
8.392294612e+00,9.545547160e-01,8.980163593e-02
8.481073542e+00,9.490596882e-01,8.774737914e-02
8.567771888e+00,9.442749442e-01,8.564067712e-02
8.652337834e+00,9.401631293e-01,8.348278901e-02
8.734720834e+00,9.366839325e-01,8.127500455e-02
8.814871650e+00,9.337950019e-01,7.901864330e-02
8.892742378e+00,9.314527214e-01,7.671505384e-02
8.968286474e+00,9.296128670e-01,7.436561301e-02
9.041458788e+00,9.282311618e-01,7.197172502e-02
9.112215585e+00,9.272637433e-01,6.953482066e-02
9.180514575e+00,9.266675556e-01,6.705635644e-02
9.246314938e+00,9.264006764e-01,6.453781370e-02
9.309577345e+00,9.264225869e-01,6.198069772e-02
9.370263985e+00,9.266943917e-01,5.938653686e-02
9.428338587e+00,9.271789935e-01,5.675688162e-02
9.483766440e+00,9.278412281e-01,5.409330370e-02
9.536514417e+00,9.286479630e-01,5.139739508e-02
9.586550990e+00,9.295681641e-01,4.867076708e-02
9.633846254e+00,9.305729322e-01,4.591504936e-02
9.678371941e+00,9.316355143e-01,4.313188899e-02
9.720101439e+00,9.327312916e-01,4.032294945e-02
9.759009807e+00,9.338377485e-01,3.748990963e-02
9.795073789e+00,9.349344236e-01,3.463446283e-02
9.828271832e+00,9.360028483e-01,3.175831581e-02
9.858584094e+00,9.370264750e-01,2.886318771e-02
9.885992457e+00,9.379905974e-01,2.595080916e-02
9.910480542e+00,9.388822672e-01,2.302292128e-02
9.932033714e+00,9.396902091e-01,2.008127492e-02
9.950639092e+00,9.404047376e-01,1.712763020e-02
9.966285565e+00,9.410176775e-01,1.416375736e-02
9.978963793e+00,9.415222909e-01,1.119144215e-02
9.988666243e+00,9.419132134e-01,8.212515093e-03
9.995387300e+00,9.421864035e-01,5.229063397e-03
9.999124440e+00,9.423391477e-01,2.246904801e-03
1.000271073e+01,9.424862889e-01,6.956417265e-03
1.001428092e+01,9.429647309e-01,1.618918028e-02
1.003508931e+01,9.438393429e-01,2.542594673e-02
1.006512810e+01,9.451333165e-01,3.464870491e-02
1.010437989e+01,9.468782180e-01,4.385099278e-02
1.015282137e+01,9.491122546e-01,5.302714311e-02
1.021042362e+01,9.518777557e-01,6.217162715e-02
1.027715224e+01,9.552179461e-01,7.127896429e-02
1.035296735e+01,9.591729750e-01,8.034370517e-02
1.043782365e+01,9.637751698e-01,8.936042916e-02
1.053167041e+01,9.690435137e-01,9.832374574e-02
1.063445155e+01,9.749774042e-01,1.072282969e-01
1.074610564e+01,9.815498411e-01,1.160687602e-01
1.086656594e+01,9.887003334e-01,1.248398515e-01
1.099576047e+01,9.963280062e-01,1.335363283e-01
1.113361200e+01,1.004285631e+00,1.421529928e-01
1.128003813e+01,1.012375585e+00,1.506846949e-01
1.143495136e+01,1.020349001e+00,1.591263352e-01
1.159825910e+01,1.027909563e+00,1.674728682e-01
1.176986374e+01,1.034723370e+00,1.757193055e-01
1.194966270e+01,1.040435924e+00,1.838607181e-01
1.213754854e+01,1.044696533e+00,1.918922401e-01
1.233340895e+01,1.047189126e+00,1.998090712e-01
1.253712687e+01,1.047666934e+00,2.076064795e-01
1.274858055e+01,1.045986882e+00,2.152798048e-01
1.296764359e+01,1.042138486e+00,2.228244607e-01
1.319418508e+01,1.036261927e+00,2.302359379e-01
1.342806960e+01,1.028651157e+00,2.375098067e-01
1.366915737e+01,1.019740258e+00,2.446417196e-01
1.391730430e+01,1.010074162e+00,2.516274141e-01
1.417236207e+01,1.000267572e+00,2.584627148e-01
1.443417823e+01,9.909575384e-01,2.651435363e-01
1.470259631e+01,9.827553389e-01,2.716658858e-01
1.497745588e+01,9.762021452e-01,2.780258648e-01
1.525859265e+01,9.717310416e-01,2.842196721e-01
1.554583860e+01,9.696360583e-01,2.902436058e-01
1.583902204e+01,9.700477260e-01,2.960940655e-01
1.613796774e+01,9.729146846e-01,3.017675543e-01
1.644249703e+01,9.779921748e-01,3.072606815e-01
1.675242789e+01,9.848404767e-01,3.125701637e-01
1.706757508e+01,9.928387542e-01,3.176928277e-01
1.738775025e+01,1.001221039e+00,3.226256116e-01
1.771276202e+01,1.009139698e+00,3.273655673e-01
1.804241616e+01,1.015756444e+00,3.319098617e-01
1.837651562e+01,1.020352033e+00,3.362557788e-01
1.871486072e+01,1.022435753e+00,3.404007211e-01
1.905724924e+01,1.021829515e+00,3.443422113e-01
1.940347654e+01,1.018703327e+00,3.480778935e-01
1.975333568e+01,1.013550377e+00,3.516055350e-01
2.010661756e+01,1.007106900e+00,3.549230273e-01
2.046311103e+01,1.000236748e+00,3.580283878e-01
2.082260301e+01,9.938069450e-01,3.609197603e-01
2.118487864e+01,9.885771693e-01,3.635954167e-01
2.154972140e+01,9.851166987e-01,3.660537579e-01
2.191691323e+01,9.837526807e-01,3.682933144e-01
2.228623465e+01,9.845475321e-01,3.703127479e-01
2.265746494e+01,9.873019240e-01,3.721108512e-01
2.303038222e+01,9.915815708e-01,3.736865497e-01
2.340476359e+01,9.967682035e-01,3.750389016e-01
2.378038530e+01,1.002134992e+00,3.761670986e-01
2.415702284e+01,1.006942781e+00,3.770704665e-01
2.453445111e+01,1.010546354e+00,3.777484652e-01
2.491244452e+01,1.012492543e+00,3.782006896e-01
2.529077714e+01,1.012588856e+00,3.784268694e-01
2.566922286e+01,1.010925713e+00,3.784268694e-01
2.604755548e+01,1.007847040e+00,3.782006896e-01
2.642554889e+01,1.003878048e+00,3.777484652e-01
2.680297716e+01,9.996293720e-01,3.770704665e-01
2.717961470e+01,9.956994072e-01,3.761670986e-01
2.755523641e+01,9.925922867e-01,3.750389016e-01
2.792961778e+01,9.906610427e-01,3.736865497e-01
2.830253506e+01,9.900782254e-01,3.721108512e-01
2.867376535e+01,9.908316986e-01,3.703127479e-01
2.904308677e+01,9.927416190e-01,3.682933144e-01
2.941027860e+01,9.954944751e-01,3.660537579e-01
2.977512136e+01,9.986900849e-01,3.635954167e-01
3.013739699e+01,1.001896766e+00,3.609197603e-01
3.049688897e+01,1.004708499e+00,3.580283878e-01
3.085338244e+01,1.006796578e+00,3.549230273e-01
3.120666432e+01,1.007948104e+00,3.516055350e-01
3.155652346e+01,1.008085446e+00,3.480778935e-01
3.190275076e+01,1.007264393e+00,3.443422113e-01
3.224513928e+01,1.005653074e+00,3.404007211e-01
3.258348438e+01,1.003497412e+00,3.362557788e-01
3.291758384e+01,1.001080689e+00,3.319098617e-01
3.324723798e+01,9.986845262e-01,3.273655673e-01
3.357224975e+01,9.965567163e-01,3.226256116e-01
3.389242492e+01,9.948888481e-01,3.176928277e-01
3.420757211e+01,9.938043518e-01,3.125701637e-01
3.451750297e+01,9.933559862e-01,3.072606815e-01
3.482203226e+01,9.935309150e-01,3.017675543e-01
3.512097796e+01,9.942612405e-01,2.960940655e-01
3.541416140e+01,9.954379228e-01,2.902436058e-01
3.570140735e+01,9.969262300e-01,2.842196721e-01
3.598254412e+01,9.985811151e-01,2.780258648e-01
3.625740369e+01,1.000261191e+00,2.716658858e-01
3.652582177e+01,1.001840270e+00,2.651435363e-01
3.678763793e+01,1.003215766e+00,2.584627148e-01
3.704269570e+01,1.004313651e+00,2.516274141e-01
3.729084263e+01,1.005090031e+00,2.446417196e-01
3.753193040e+01,1.005529753e+00,2.375098067e-01
3.776581492e+01,1.005642722e+00,2.302359379e-01
3.799235641e+01,1.005458725e+00,2.228244607e-01
3.821141945e+01,1.005021564e+00,2.152798048e-01
3.842287313e+01,1.004383238e+00,2.076064795e-01
3.862659105e+01,1.003598681e+00,1.998090712e-01
3.882245146e+01,1.002721440e+00,1.918922401e-01
3.901033730e+01,1.001800431e+00,1.838607181e-01
3.919013626e+01,1.000877795e+00,1.757193055e-01
3.936174090e+01,9.999877534e-01,1.674728682e-01
3.952504864e+01,9.991562817e-01,1.591263352e-01
3.967996187e+01,9.984014283e-01,1.506846949e-01
3.982638800e+01,9.977340647e-01,1.421529928e-01
3.996423953e+01,9.971589046e-01,1.335363283e-01
4.009343406e+01,9.966756437e-01,1.248398515e-01
4.021389436e+01,9.962801103e-01,1.160687602e-01
4.032554845e+01,9.959653470e-01,1.072282969e-01
4.042832959e+01,9.957225758e-01,9.832374574e-02
4.052217635e+01,9.955420173e-01,8.936042916e-02
4.060703265e+01,9.954135589e-01,8.034370517e-02
4.068284776e+01,9.953272748e-01,7.127896429e-02
4.074957638e+01,9.952738131e-01,6.217162715e-02
4.080717863e+01,9.952446687e-01,5.302714311e-02
4.085562011e+01,9.952323632e-01,4.385099278e-02
4.089487190e+01,9.952305531e-01,3.464870491e-02
4.092491069e+01,9.952340863e-01,2.542594673e-02
4.094571908e+01,9.952390253e-01,1.618918028e-02
4.095728927e+01,9.952426511e-01,6.956417265e-03
