#1k,2f(k),3kw
8.755602643e-04,3.122783226e-01,2.246904801e-03
4.612700113e-03,3.122785604e-01,5.229063397e-03
1.133375687e-02,3.122798054e-01,8.212515093e-03
2.103620733e-02,3.122834750e-01,1.119144215e-02
3.371443550e-02,3.122916981e-01,1.416375736e-02
4.936090754e-02,3.123075097e-01,1.712763020e-02
6.796628638e-02,3.123352501e-01,2.008127492e-02
8.951945782e-02,3.123811984e-01,2.302292128e-02
1.140075427e-01,3.124546417e-01,2.595080916e-02
1.414159063e-01,3.125689078e-01,2.886318771e-02
1.717281678e-01,3.127425192e-01,3.175831581e-02
2.049262107e-01,3.129998146e-01,3.463446283e-02
2.409901933e-01,3.133706850e-01,3.748990963e-02
2.798985608e-01,3.138891220e-01,4.032294945e-02
3.216280586e-01,3.145906048e-01,4.313188899e-02
3.661537456e-01,3.155087477e-01,4.591504936e-02
4.134490096e-01,3.166719142e-01,4.867076708e-02
4.634855830e-01,3.181005456e-01,5.139739508e-02
5.162335598e-01,3.198057395e-01,5.409330370e-02
5.716614133e-01,3.217892690e-01,5.675688162e-02
6.297360152e-01,3.240448970e-01,5.938653686e-02
6.904226553e-01,3.265606194e-01,6.198069772e-02
7.536850621e-01,3.293213868e-01,6.453781370e-02
8.194854247e-01,3.323118886e-01,6.705635644e-02
8.877844152e-01,3.355190773e-01,6.953482066e-02
9.585412125e-01,3.389342327e-01,7.197172502e-02
1.031713526e+00,3.425544791e-01,7.436561301e-02
1.107257622e+00,3.463837618e-01,7.671505384e-02
1.185128350e+00,3.504333480e-01,7.901864330e-02
1.265279166e+00,3.547219545e-01,8.127500455e-02
1.347662166e+00,3.592756099e-01,8.348278901e-02
1.432228112e+00,3.641273528e-01,8.564067712e-02
1.518926458e+00,3.693168485e-01,8.774737914e-02
1.607705388e+00,3.748899872e-01,8.980163593e-02
1.698511839e+00,3.808985033e-01,9.180221969e-02
1.791291537e+00,3.873996365e-01,9.374793470e-02
1.885989030e+00,3.944558434e-01,9.563761805e-02
1.982547719e+00,4.021345507e-01,9.747014029e-02
2.080909892e+00,4.105079377e-01,9.924440616e-02
2.181016759e+00,4.196527215e-01,1.009593552e-01
2.282808488e+00,4.296499155e-01,1.026139624e-01
2.386224240e+00,4.405845206e-01,1.042072389e-01
2.491202204e+00,4.525451006e-01,1.057382323e-01
2.597679638e+00,4.656231836e-01,1.072060277e-01
2.705592901e+00,4.799124185e-01,1.086097477e-01
2.814877495e+00,4.955074027e-01,1.099485533e-01
2.925468102e+00,5.125020870e-01,1.112216445e-01
3.037298625e+00,5.309876493e-01,1.124282602e-01
3.150302223e+00,5.510497217e-01,1.135676793e-01
3.264411357e+00,5.727648577e-01,1.146392207e-01
3.379557825e+00,5.961961345e-01,1.156422441e-01
3.495672806e+00,6.213878181e-01,1.165761500e-01
3.612686899e+00,6.483590699e-01,1.174403801e-01
3.730530168e+00,6.770967648e-01,1.182344179e-01
3.849132179e+00,7.075476103e-01,1.189577889e-01
