#1k,2f(k),3kw
8.755602643e-04,3.121745497e-01,2.246904801e-03
4.612700113e-03,3.094348056e-01,5.229063397e-03
1.133375687e-02,2.962024690e-01,8.212515093e-03
2.103620733e-02,2.662029302e-01,1.119144215e-02
3.371443550e-02,2.299889600e-01,1.416375736e-02
4.936090754e-02,2.094696410e-01,1.712763020e-02
6.796628638e-02,2.070297428e-01,2.008127492e-02
8.951945782e-02,2.115169512e-01,2.302292128e-02
1.140075427e-01,2.189153810e-01,2.595080916e-02
1.414159063e-01,2.295785186e-01,2.886318771e-02
1.717281678e-01,2.445139092e-01,3.175831581e-02
2.049262107e-01,2.650249106e-01,3.463446283e-02
2.409901933e-01,2.927851296e-01,3.748990963e-02
2.798985608e-01,3.299182910e-01,4.032294945e-02
3.216280586e-01,3.790160821e-01,4.313188899e-02
3.661537456e-01,4.429565582e-01,4.591504936e-02
4.134490096e-01,5.242430796e-01,4.867076708e-02
4.634855830e-01,6.234245210e-01,5.139739508e-02
5.162335598e-01,7.362810631e-01,5.409330370e-02
5.716614133e-01,8.506174873e-01,5.675688162e-02
6.297360152e-01,9.460728045e-01,5.938653686e-02
6.904226553e-01,1.001252887e+00,6.198069772e-02
7.536850621e-01,1.005836793e+00,6.453781370e-02
8.194854247e-01,9.663788867e-01,6.705635644e-02
8.877844152e-01,8.999750515e-01,6.953482066e-02
9.585412125e-01,8.238093619e-01,7.197172502e-02
1.031713526e+00,7.495032091e-01,7.436561301e-02
1.107257622e+00,6.828786449e-01,7.671505384e-02
1.185128350e+00,6.258721642e-01,7.901864330e-02
1.265279166e+00,5.783848604e-01,8.127500455e-02
1.347662166e+00,5.394659564e-01,8.348278901e-02
1.432228112e+00,5.079324161e-01,8.564067712e-02
1.518926458e+00,4.826478209e-01,8.774737914e-02
1.607705388e+00,4.626254922e-01,8.980163593e-02
1.698511839e+00,4.470503711e-01,9.180221969e-02
1.791291537e+00,4.352675970e-01,9.374793470e-02
1.885989030e+00,4.267602198e-01,9.563761805e-02
1.982547719e+00,4.211257322e-01,9.747014029e-02
2.080909892e+00,4.180551041e-01,9.924440616e-02
2.181016759e+00,4.173153336e-01,1.009593552e-01
2.282808488e+00,4.187354239e-01,1.026139624e-01
2.386224240e+00,4.221953054e-01,1.042072389e-01
2.491202204e+00,4.276171355e-01,1.057382323e-01
2.597679638e+00,4.349584401e-01,1.072060277e-01
2.705592901e+00,4.442066228e-01,1.086097477e-01
2.814877495e+00,4.553744367e-01,1.099485533e-01
2.925468102e+00,4.684960580e-01,1.112216445e-01
3.037298625e+00,4.836234384e-01,1.124282602e-01
3.150302223e+00,5.008226251e-01,1.135676793e-01
3.264411357e+00,5.201697425e-01,1.146392207e-01
3.379557825e+00,5.417463198e-01,1.156422441e-01
3.495672806e+00,5.656336399e-01,1.165761500e-01
3.612686899e+00,5.919057812e-01,1.174403801e-01
3.730530168e+00,6.206210401e-01,1.182344179e-01
3.849132179e+00,6.518114757e-01,1.189577889e-01
3.968422045e+00,6.854704365e-01,1.196100607e-01
4.088328470e+00,7.215381345e-01,1.201908434e-01
4.208779786e+00,7.598856537e-01,1.206997899e-01
4.329704003e+00,8.002982402e-01,1.211365961e-01
4.451028844e+00,8.424593015e-01,1.215010008e-01
4.572681797e+00,8.859372039e-01,1.217927863e-01
4.694590152e+00,9.301775743e-01,1.220117782e-01
4.816681045e+00,9.745042021e-01,1.221578455e-01
4.938881505e+00,1.018131541e+00,1.222309010e-01
5.061118495e+00,1.060190996e+00,1.222309010e-01
5.183318955e+00,1.099771503e+00,1.221578455e-01
5.305409848e+00,1.135972434e+00,1.220117782e-01
5.427318203e+00,1.167964091e+00,1.217927863e-01
5.548971156e+00,1.195048587e+00,1.215010008e-01
5.670295997e+00,1.216712702e+00,1.211365961e-01
5.791220214e+00,1.232664831e+00,1.206997899e-01
5.911671530e+00,1.242850623e+00,1.201908434e-01
6.031577955e+00,1.247445611e+00,1.196100607e-01
