#1k,2f(k),3kw
8.755602643e-04,3.122783179e-01,2.246904801e-03
4.612700113e-03,3.122784298e-01,5.229063397e-03
1.133375687e-02,3.122790186e-01,8.212515093e-03
2.103620733e-02,3.122807813e-01,1.119144215e-02
3.371443550e-02,3.122848738e-01,1.416375736e-02
4.936090754e-02,3.122932578e-01,1.712763020e-02
6.796628638e-02,3.123094068e-01,2.008127492e-02
8.951945782e-02,3.123394540e-01,2.302292128e-02
1.140075427e-01,3.123939909e-01,2.595080916e-02
1.414159063e-01,3.124899711e-01,2.886318771e-02
1.717281678e-01,3.126526829e-01,3.175831581e-02
2.049262107e-01,3.129168413e-01,3.463446283e-02
2.409901933e-01,3.133261261e-01,3.748990963e-02
2.798985608e-01,3.139306494e-01,4.032294945e-02
3.216280586e-01,3.147824066e-01,4.313188899e-02
3.661537456e-01,3.159294476e-01,4.591504936e-02
4.134490096e-01,3.174099833e-01,4.867076708e-02
4.634855830e-01,3.192477067e-01,5.139739508e-02
5.162335598e-01,3.214492476e-01,5.409330370e-02
5.716614133e-01,3.240040923e-01,5.675688162e-02
6.297360152e-01,3.268867425e-01,5.938653686e-02
6.904226553e-01,3.300605160e-01,6.198069772e-02
7.536850621e-01,3.334822464e-01,6.453781370e-02
8.194854247e-01,3.371071779e-01,6.705635644e-02
8.877844152e-01,3.408934886e-01,6.953482066e-02
9.585412125e-01,3.448060671e-01,7.197172502e-02
1.031713526e+00,3.488193473e-01,7.436561301e-02
1.107257622e+00,3.529191649e-01,7.671505384e-02
1.185128350e+00,3.571037158e-01,7.901864330e-02
1.265279166e+00,3.613837660e-01,8.127500455e-02
1.347662166e+00,3.657822953e-01,8.348278901e-02
1.432228112e+00,3.703337552e-01,8.564067712e-02
1.518926458e+00,3.750831025e-01,8.774737914e-02
1.607705388e+00,3.800847383e-01,8.980163593e-02
1.698511839e+00,3.854014467e-01,9.180221969e-02
1.791291537e+00,3.911034000e-01,9.374793470e-02
1.885989030e+00,3.972672669e-01,9.563761805e-02
