#1k,2f(k),3kw
8.755602643e-04,3.122783289e-01,2.246904801e-03
4.612700113e-03,3.122787345e-01,5.229063397e-03
1.133375687e-02,3.122808542e-01,8.212515093e-03
2.103620733e-02,3.122870659e-01,1.119144215e-02
3.371443550e-02,3.123007959e-01,1.416375736e-02
4.936090754e-02,3.123265111e-01,1.712763020e-02
6.796628638e-02,3.123697101e-01,2.008127492e-02
8.951945782e-02,3.124368725e-01,2.302292128e-02
1.140075427e-01,3.125355530e-01,2.595080916e-02
1.414159063e-01,3.126742506e-01,2.886318771e-02
1.717281678e-01,3.128624591e-01,3.175831581e-02
2.049262107e-01,3.131106453e-01,3.463446283e-02
2.409901933e-01,3.134302342e-01,3.748990963e-02
2.798985608e-01,3.138335964e-01,4.032294945e-02
3.216280586e-01,3.143340339e-01,4.313188899e-02
3.661537456e-01,3.149457690e-01,4.591504936e-02
4.134490096e-01,3.156839391e-01,4.867076708e-02
4.634855830e-01,3.165646000e-01,5.139739508e-02
5.162335598e-01,3.176047426e-01,5.409330370e-02
5.716614133e-01,3.188223220e-01,5.675688162e-02
6.297360152e-01,3.202363017e-01,5.938653686e-02
6.904226553e-01,3.218667107e-01,6.198069772e-02
7.536850621e-01,3.237347129e-01,6.453781370e-02
8.194854247e-01,3.258626894e-01,6.705635644e-02
8.877844152e-01,3.282743310e-01,6.953482066e-02
9.585412125e-01,3.309947419e-01,7.197172502e-02
1.031713526e+00,3.340505550e-01,7.436561301e-02
1.107257622e+00,3.374700567e-01,7.671505384e-02
1.185128350e+00,3.412833239e-01,7.901864330e-02
1.265279166e+00,3.455223699e-01,8.127500455e-02
1.347662166e+00,3.502212998e-01,8.348278901e-02
1.432228112e+00,3.554164730e-01,8.564067712e-02
1.518926458e+00,3.611466689e-01,8.774737914e-02
1.607705388e+00,3.674532531e-01,8.980163593e-02
1.698511839e+00,3.743803360e-01,9.180221969e-02
1.791291537e+00,3.819749176e-01,9.374793470e-02
1.885989030e+00,3.902870064e-01,9.563761805e-02
1.982547719e+00,3.993696988e-01,9.747014029e-02
2.080909892e+00,4.092792011e-01,9.924440616e-02
2.181016759e+00,4.200747717e-01,1.009593552e-01
2.282808488e+00,4.318185548e-01,1.026139624e-01
2.386224240e+00,4.445752700e-01,1.042072389e-01
2.491202204e+00,4.584117170e-01,1.057382323e-01
2.597679638e+00,4.733960414e-01,1.072060277e-01
2.705592901e+00,4.895967048e-01,1.086097477e-01
2.814877495e+00,5.070810880e-01,1.099485533e-01
2.925468102e+00,5.259136534e-01,1.112216445e-01
3.037298625e+00,5.461535847e-01,1.124282602e-01
3.150302223e+00,5.678518266e-01,1.135676793e-01
3.264411357e+00,5.910474530e-01,1.146392207e-01
3.379557825e+00,6.157633183e-01,1.156422441e-01
3.495672806e+00,6.420009829e-01,1.165761500e-01
3.612686899e+00,6.697349691e-01,1.174403801e-01
3.730530168e+00,6.989064928e-01,1.182344179e-01
3.849132179e+00,7.294169337e-01,1.189577889e-01
3.968422045e+00,7.611214575e-01,1.196100607e-01
4.088328470e+00,7.938233623e-01,1.201908434e-01
4.208779786e+00,8.272698905e-01,1.206997899e-01
4.329704003e+00,8.611503703e-01,1.211365961e-01
4.451028844e+00,8.950976097e-01,1.215010008e-01
4.572681797e+00,9.286933923e-01,1.217927863e-01
4.694590152e+00,9.614786863e-01,1.220117782e-01
4.816681045e+00,9.929687528e-01,1.221578455e-01
4.938881505e+00,1.022672736e+00,1.222309010e-01
5.061118495e+00,1.050116626e+00,1.222309010e-01
5.183318955e+00,1.074867785e+00,1.221578455e-01
5.305409848e+00,1.096558754e+00,1.220117782e-01
5.427318203e+00,1.114907830e+00,1.217927863e-01
5.548971156e+00,1.129734159e+00,1.215010008e-01
5.670295997e+00,1.140965693e+00,1.211365961e-01
5.791220214e+00,1.148639309e+00,1.206997899e-01
5.911671530e+00,1.152893385e+00,1.201908434e-01
6.031577955e+00,1.153954082e+00,1.196100607e-01
6.150867821e+00,1.152117213e+00,1.189577889e-01
6.269469832e+00,1.147727873e+00,1.182344179e-01
6.387313101e+00,1.141159901e+00,1.174403801e-01
6.504327194e+00,1.132796904e+00,1.165761500e-01
6.620442175e+00,1.123016046e+00,1.156422441e-01
6.735588643e+00,1.112175240e+00,1.146392207e-01
6.849697777e+00,1.100603921e+00,1.135676793e-01
6.962701375e+00,1.088597173e+00,1.124282602e-01
7.074531898e+00,1.076412757e+00,1.112216445e-01
7.185122505e+00,1.064270483e+00,1.099485533e-01
7.294407099e+00,1.052353327e+00,1.086097477e-01
7.402320362e+00,1.040809752e+00,1.072060277e-01
7.508797796e+00,1.029756775e+00,1.057382323e-01
7.613775760e+00,1.019283397e+00,1.042072389e-01
7.717191512e+00,1.009454144e+00,1.026139624e-01
7.818983241e+00,1.000312505e+00,1.009593552e-01
7.919090108e+00,9.918841554e-01,9.924440616e-02
8.017452281e+00,9.841798938e-01,9.747014029e-02
8.114010970e+00,9.771982602e-01,9.563761805e-02
8.208708463e+00,9.709278296e-01,9.374793470e-02
8.301488161e+00,9.653491987e-01,9.180221969e-02
8.392294612e+00,9.604366866e-01,8.980163593e-02
8.481073542e+00,9.561597814e-01,8.774737914e-02
8.567771888e+00,9.524843616e-01,8.564067712e-02
8.652337834e+00,9.493737239e-01,8.348278901e-02
8.734720834e+00,9.467894453e-01,8.127500455e-02
8.814871650e+00,9.446921036e-01,7.901864330e-02
8.892742378e+00,9.430418790e-01,7.671505384e-02
8.968286474e+00,9.417990552e-01,7.436561301e-02
9.041458788e+00,9.409244351e-01,7.197172502e-02
9.112215585e+00,9.403796837e-01,6.953482066e-02
9.180514575e+00,9.401276102e-01,6.705635644e-02
9.246314938e+00,9.401323951e-01,6.453781370e-02
9.309577345e+00,9.403597720e-01,6.198069772e-02
9.370263985e+00,9.407771675e-01,5.938653686e-02
9.428338587e+00,9.413538052e-01,5.675688162e-02
9.483766440e+00,9.420607777e-01,5.409330370e-02
9.536514417e+00,9.428710892e-01,5.139739508e-02
9.586550990e+00,9.437596726e-01,4.867076708e-02
9.633846254e+00,9.447033846e-01,4.591504936e-02
9.678371941e+00,9.456809800e-01,4.313188899e-02
9.720101439e+00,9.466730701e-01,4.032294945e-02
9.759009807e+00,9.476620661e-01,3.748990963e-02
9.795073789e+00,9.486321114e-01,3.463446283e-02
9.828271832e+00,9.495690056e-01,3.175831581e-02
9.858584094e+00,9.504601214e-01,2.886318771e-02
9.885992457e+00,9.512943193e-01,2.595080916e-02
9.910480542e+00,9.520618601e-01,2.302292128e-02
9.932033714e+00,9.527543196e-01,2.008127492e-02
9.950639092e+00,9.533645061e-01,1.712763020e-02
9.966285565e+00,9.538863840e-01,1.416375736e-02
9.978963793e+00,9.543150038e-01,1.119144215e-02
9.988666243e+00,9.546464423e-01,8.212515093e-03
9.995387300e+00,9.548777549e-01,5.229063397e-03
9.999124440e+00,9.550069765e-01,2.246904801e-03
1.000271073e+01,9.551313856e-01,6.956417265e-03
1.001428092e+01,9.555354294e-01,1.618918028e-02
1.003508931e+01,9.562721936e-01,2.542594673e-02
