#1k,2f(k),3kw
8.755602643e-04,3.122783289e-01,2.246904801e-03
4.612700113e-03,3.122787348e-01,5.229063397e-03
1.133375687e-02,3.122808557e-01,8.212515093e-03
2.103620733e-02,3.122870711e-01,1.119144215e-02
3.371443550e-02,3.123008092e-01,1.416375736e-02
4.936090754e-02,3.123265389e-01,1.712763020e-02
6.796628638e-02,3.123697605e-01,2.008127492e-02
8.951945782e-02,3.124369539e-01,2.302292128e-02
1.140075427e-01,3.125356713e-01,2.595080916e-02
1.414159063e-01,3.126744046e-01,2.886318771e-02
1.717281678e-01,3.128626346e-01,3.175831581e-02
2.049262107e-01,3.131108075e-01,3.463446283e-02
2.409901933e-01,3.134303214e-01,3.748990963e-02
2.798985608e-01,3.138335151e-01,4.032294945e-02
3.216280586e-01,3.143336581e-01,4.313188899e-02
3.661537456e-01,3.149449443e-01,4.591504936e-02
4.134490096e-01,3.156824916e-01,4.867076708e-02
4.634855830e-01,3.165623494e-01,5.139739508e-02
5.162335598e-01,3.176015170e-01,5.409330370e-02
5.716614133e-01,3.188179732e-01,5.675688162e-02
6.297360152e-01,3.202307179e-01,5.938653686e-02
6.904226553e-01,3.218598261e-01,6.198069772e-02
7.536850621e-01,3.237265135e-01,6.453781370e-02
8.194854247e-01,3.258532152e-01,6.705635644e-02
8.877844152e-01,3.282636740e-01,6.953482066e-02
9.585412125e-01,3.309830427e-01,7.197172502e-02
1.031713526e+00,3.340379962e-01,7.436561301e-02
1.107257622e+00,3.374568568e-01,7.671505384e-02
1.185128350e+00,3.412697299e-01,7.901864330e-02
1.265279166e+00,3.455086502e-01,8.127500455e-02
1.347662166e+00,3.502077382e-01,8.348278901e-02
1.432228112e+00,3.554033622e-01,8.564067712e-02
1.518926458e+00,3.611343060e-01,8.774737914e-02
1.607705388e+00,3.674419344e-01,8.980163593e-02
1.698511839e+00,3.743703534e-01,9.180221969e-02
1.791291537e+00,3.819665548e-01,9.374793470e-02
1.885989030e+00,3.902805353e-01,9.563761805e-02
1.982547719e+00,3.993653763e-01,9.747014029e-02
2.080909892e+00,4.092772661e-01,9.924440616e-02
2.181016759e+00,4.200754413e-01,1.009593552e-01
2.282808488e+00,4.318220209e-01,1.026139624e-01
2.386224240e+00,4.445816955e-01,1.042072389e-01
2.491202204e+00,4.584212313e-01,1.057382323e-01
2.597679638e+00,4.734087362e-01,1.072060277e-01
2.705592901e+00,4.896126288e-01,1.086097477e-01
2.814877495e+00,5.071002417e-01,1.099485533e-01
2.925468102e+00,5.259359834e-01,1.112216445e-01
3.037298625e+00,5.461789781e-01,1.124282602e-01
3.150302223e+00,5.678801048e-01,1.135676793e-01
3.264411357e+00,5.910783663e-01,1.146392207e-01
3.379557825e+00,6.157965405e-01,1.156422441e-01
3.495672806e+00,6.420361073e-01,1.165761500e-01
3.612686899e+00,6.697715057e-01,1.174403801e-01
3.730530168e+00,6.989438672e-01,1.182344179e-01
3.849132179e+00,7.294544895e-01,1.189577889e-01
3.968422045e+00,7.611584610e-01,1.196100607e-01
4.088328470e+00,7.938590127e-01,1.201908434e-01
4.208779786e+00,8.273033336e-01,1.206997899e-01
4.329704003e+00,8.611807179e-01,1.211365961e-01
4.451028844e+00,8.951239644e-01,1.215010008e-01
4.572681797e+00,9.287148766e-01,1.217927863e-01
4.694590152e+00,9.614944760e-01,1.220117782e-01
4.816681045e+00,9.929781120e-01,1.221578455e-01
4.938881505e+00,1.022675053e+00,1.222309010e-01
5.061118495e+00,1.050111444e+00,1.222309010e-01
5.183318955e+00,1.074854832e+00,1.221578455e-01
5.305409848e+00,1.096537961e+00,1.220117782e-01
5.427318203e+00,1.114879342e+00,1.217927863e-01
5.548971156e+00,1.129698329e+00,1.215010008e-01
5.670295997e+00,1.140923076e+00,1.211365961e-01
5.791220214e+00,1.148590634e+00,1.206997899e-01
5.911671530e+00,1.152839528e+00,1.201908434e-01
6.031577955e+00,1.153896029e+00,1.196100607e-01
6.150867821e+00,1.152056023e+00,1.189577889e-01
6.269469832e+00,1.147664640e+00,1.182344179e-01
6.387313101e+00,1.141095717e+00,1.174403801e-01
6.504327194e+00,1.132732830e+00,1.165761500e-01
6.620442175e+00,1.122953084e+00,1.156422441e-01
6.735588643e+00,1.112114316e+00,1.146392207e-01
6.849697777e+00,1.100545870e+00,1.135676793e-01
6.962701375e+00,1.088542727e+00,1.124282602e-01
7.074531898e+00,1.076362541e+00,1.112216445e-01
7.185122505e+00,1.064225017e+00,1.099485533e-01
7.294407099e+00,1.052313025e+00,1.086097477e-01
7.402320362e+00,1.040774929e+00,1.072060277e-01
7.508797796e+00,1.029727650e+00,1.057382323e-01
7.613775760e+00,1.019260103e+00,1.042072389e-01
7.717191512e+00,1.009436733e+00,1.026139624e-01
7.818983241e+00,1.000300959e+00,1.009593552e-01
7.919090108e+00,9.918783920e-01,9.924440616e-02
8.017452281e+00,9.841797756e-01,9.747014029e-02
8.114010970e+00,9.772036021e-01,9.563761805e-02
8.208708463e+00,9.709384064e-01,9.374793470e-02
8.301488161e+00,9.653647519e-01,9.180221969e-02
8.392294612e+00,9.604569311e-01,8.980163593e-02
8.481073542e+00,9.561844118e-01,8.774737914e-02
8.567771888e+00,9.525130576e-01,8.564067712e-02
8.652337834e+00,9.494061561e-01,8.348278901e-02
8.734720834e+00,9.468252793e-01,8.127500455e-02
8.814871650e+00,9.447310050e-01,7.901864330e-02
8.892742378e+00,9.430835171e-01,7.671505384e-02
8.968286474e+00,9.418431065e-01,7.436561301e-02
9.041458788e+00,9.409705862e-01,7.197172502e-02
9.112215585e+00,9.404276344e-01,6.953482066e-02
9.180514575e+00,9.401770753e-01,6.705635644e-02
9.246314938e+00,9.401831067e-01,6.453781370e-02
9.309577345e+00,9.404114808e-01,6.198069772e-02
9.370263985e+00,9.408296438e-01,5.938653686e-02
9.428338587e+00,9.414068400e-01,5.675688162e-02
9.483766440e+00,9.421141832e-01,5.409330370e-02
9.536514417e+00,9.429246986e-01,5.139739508e-02
9.586550990e+00,9.438133406e-01,4.867076708e-02
9.633846254e+00,9.447569866e-01,4.591504936e-02
9.678371941e+00,9.457344119e-01,4.313188899e-02
9.720101439e+00,9.467262474e-01,4.032294945e-02
9.759009807e+00,9.477149230e-01,3.748990963e-02
9.795073789e+00,9.486846003e-01,3.463446283e-02
9.828271832e+00,9.496210951e-01,3.175831581e-02
9.858584094e+00,9.505117959e-01,2.886318771e-02
9.885992457e+00,9.513455773e-01,2.595080916e-02
9.910480542e+00,9.521127130e-01,2.302292128e-02
9.932033714e+00,9.528047902e-01,2.008127492e-02
9.950639092e+00,9.534146276e-01,1.712763020e-02
9.966285565e+00,9.539361982e-01,1.416375736e-02
9.978963793e+00,9.543645598e-01,1.119144215e-02
9.988666243e+00,9.546957952e-01,8.212515093e-03
9.995387300e+00,9.549269643e-01,5.229063397e-03
9.999124440e+00,9.550561051e-01,2.246904801e-03
1.000271073e+01,9.551804360e-01,6.956417265e-03
1.001428092e+01,9.555842232e-01,1.618918028e-02
1.003508931e+01,9.563205088e-01,2.542594673e-02
1.006512810e+01,9.574056744e-01,3.464870491e-02
1.010437989e+01,9.588617282e-01,4.385099278e-02
1.015282137e+01,9.607148340e-01,5.302714311e-02
1.021042362e+01,9.629932037e-01,6.217162715e-02
1.027715224e+01,9.657244425e-01,7.127896429e-02
