#1k,2f(k),3kw
8.755602643e-04,3.122782952e-01,2.246904801e-03
4.612700113e-03,3.122777998e-01,5.229063397e-03
1.133375687e-02,3.122752227e-01,8.212515093e-03
2.103620733e-02,3.122677861e-01,1.119144215e-02
3.371443550e-02,3.122519548e-01,1.416375736e-02
4.936090754e-02,3.122245232e-01,1.712763020e-02
6.796628638e-02,3.121848104e-01,2.008127492e-02
8.951945782e-02,3.121382940e-01,2.302292128e-02
1.140075427e-01,3.121019238e-01,2.595080916e-02
1.414159063e-01,3.121101828e-01,2.886318771e-02
1.717281678e-01,3.122209127e-01,3.175831581e-02
2.049262107e-01,3.125185352e-01,3.463446283e-02
2.409901933e-01,3.131124965e-01,3.748990963e-02
2.798985608e-01,3.141294982e-01,4.032294945e-02
3.216280586e-01,3.156997914e-01,4.313188899e-02
3.661537456e-01,3.179397496e-01,4.591504936e-02
4.134490096e-01,3.209342048e-01,4.867076708e-02
4.634855830e-01,3.247220929e-01,5.139739508e-02
5.162335598e-01,3.292879368e-01,5.409330370e-02
5.716614133e-01,3.345602102e-01,5.675688162e-02
6.297360152e-01,3.404162994e-01,5.938653686e-02
6.904226553e-01,3.466928949e-01,6.198069772e-02
7.536850621e-01,3.532001924e-01,6.453781370e-02
8.194854247e-01,3.597381216e-01,6.705635644e-02
8.877844152e-01,3.661128306e-01,6.953482066e-02
9.585412125e-01,3.721518102e-01,7.197172502e-02
1.031713526e+00,3.777163331e-01,7.436561301e-02
1.107257622e+00,3.827103001e-01,7.671505384e-02
1.185128350e+00,3.870850725e-01,7.901864330e-02
1.265279166e+00,3.908403544e-01,8.127500455e-02
1.347662166e+00,3.940216005e-01,8.348278901e-02
1.432228112e+00,3.967147100e-01,8.564067712e-02
1.518926458e+00,3.990389103e-01,8.774737914e-02
1.607705388e+00,4.011387466e-01,8.980163593e-02
1.698511839e+00,4.031760015e-01,9.180221969e-02
1.791291537e+00,4.053222069e-01,9.374793470e-02
1.885989030e+00,4.077522226e-01,9.563761805e-02
1.982547719e+00,4.106391575e-01,9.747014029e-02
2.080909892e+00,4.141507345e-01,9.924440616e-02
2.181016759e+00,4.184470515e-01,1.009593552e-01
2.282808488e+00,4.236795850e-01,1.026139624e-01
2.386224240e+00,4.299912058e-01,1.042072389e-01
2.491202204e+00,4.375169406e-01,1.057382323e-01
2.597679638e+00,4.463851954e-01,1.072060277e-01
2.705592901e+00,4.567191633e-01,1.086097477e-01
2.814877495e+00,4.686381519e-01,1.099485533e-01
2.925468102e+00,4.822585816e-01,1.112216445e-01
3.037298625e+00,4.976944212e-01,1.124282602e-01
3.150302223e+00,5.150568344e-01,1.135676793e-01
3.264411357e+00,5.344528162e-01,1.146392207e-01
3.379557825e+00,5.559825960e-01,1.156422441e-01
3.495672806e+00,5.797355920e-01,1.165761500e-01
3.612686899e+00,6.057847171e-01,1.174403801e-01
3.730530168e+00,6.341788838e-01,1.182344179e-01
3.849132179e+00,6.649336466e-01,1.189577889e-01
3.968422045e+00,6.980200743e-01,1.196100607e-01
4.088328470e+00,7.333521770e-01,1.201908434e-01
4.208779786e+00,7.707735340e-01,1.206997899e-01
4.329704003e+00,8.100441643e-01,1.211365961e-01
4.451028844e+00,8.508291165e-01,1.215010008e-01
4.572681797e+00,8.926906594e-01,1.217927863e-01
4.694590152e+00,9.350862127e-01,1.220117782e-01
4.816681045e+00,9.773741398e-01,1.221578455e-01
4.938881505e+00,1.018829106e+00,1.222309010e-01
5.061118495e+00,1.058667801e+00,1.222309010e-01
5.183318955e+00,1.096084490e+00,1.221578455e-01
5.305409848e+00,1.130294200e+00,1.220117782e-01
5.427318203e+00,1.160579804e+00,1.217927863e-01
5.548971156e+00,1.186338007e+00,1.215010008e-01
5.670295997e+00,1.207118874e+00,1.211365961e-01
5.791220214e+00,1.222654035e+00,1.206997899e-01
5.911671530e+00,1.232870171e+00,1.201908434e-01
6.031577955e+00,1.237886466e+00,1.196100607e-01
6.150867821e+00,1.237997001e+00,1.189577889e-01
6.269469832e+00,1.233641046e+00,1.182344179e-01
6.387313101e+00,1.225365514e+00,1.174403801e-01
6.504327194e+00,1.213784303e+00,1.165761500e-01
6.620442175e+00,1.199538918e+00,1.156422441e-01
6.735588643e+00,1.183263817e+00,1.146392207e-01
6.849697777e+00,1.165558667e+00,1.135676793e-01
6.962701375e+00,1.146968433e+00,1.124282602e-01
7.074531898e+00,1.127971149e+00,1.112216445e-01
7.185122505e+00,1.108972437e+00,1.099485533e-01
7.294407099e+00,1.090305417e+00,1.086097477e-01
7.402320362e+00,1.072234540e+00,1.072060277e-01
7.508797796e+00,1.054961925e+00,1.057382323e-01
7.613775760e+00,1.038635032e+00,1.042072389e-01
7.717191512e+00,1.023354744e+00,1.026139624e-01
7.818983241e+00,1.009183237e+00,1.009593552e-01
7.919090108e+00,9.961512200e-01,9.924440616e-02
8.017452281e+00,9.842643461e-01,9.747014029e-02
8.114010970e+00,9.735087081e-01,9.563761805e-02
8.208708463e+00,9.638554444e-01,9.374793470e-02
8.301488161e+00,9.552645202e-01,9.180221969e-02
8.392294612e+00,9.476877861e-01,8.980163593e-02
8.481073542e+00,9.410714180e-01,8.774737914e-02
8.567771888e+00,9.353578465e-01,8.564067712e-02
8.652337834e+00,9.304872686e-01,8.348278901e-02
8.734720834e+00,9.263988245e-01,8.127500455e-02
8.814871650e+00,9.230315120e-01,7.901864330e-02
8.892742378e+00,9.203248919e-01,7.671505384e-02
8.968286474e+00,9.182196344e-01,7.436561301e-02
9.041458788e+00,9.166579394e-01,7.197172502e-02
9.112215585e+00,9.155838612e-01,6.953482066e-02
9.180514575e+00,9.149435577e-01,6.705635644e-02
9.246314938e+00,9.146854804e-01,6.453781370e-02
9.309577345e+00,9.147605174e-01,6.198069772e-02
9.370263985e+00,9.151220975e-01,5.938653686e-02
9.428338587e+00,9.157262617e-01,5.675688162e-02
9.483766440e+00,9.165317076e-01,5.409330370e-02
9.536514417e+00,9.174998081e-01,5.139739508e-02
9.586550990e+00,9.185946090e-01,4.867076708e-02
9.633846254e+00,9.197828061e-01,4.591504936e-02
9.678371941e+00,9.210337051e-01,4.313188899e-02
9.720101439e+00,9.223191651e-01,4.032294945e-02
9.759009807e+00,9.236135284e-01,3.748990963e-02
9.795073789e+00,9.248935386e-01,3.463446283e-02
9.828271832e+00,9.261382491e-01,3.175831581e-02
9.858584094e+00,9.273289256e-01,2.886318771e-02
9.885992457e+00,9.284489426e-01,2.595080916e-02
9.910480542e+00,9.294836802e-01,2.302292128e-02
9.932033714e+00,9.304204203e-01,2.008127492e-02
9.950639092e+00,9.312482469e-01,1.712763020e-02
9.966285565e+00,9.319579525e-01,1.416375736e-02
9.978963793e+00,9.325419526e-01,1.119144215e-02
9.988666243e+00,9.329942113e-01,8.212515093e-03
9.995387300e+00,9.333101830e-01,5.229063397e-03
9.999124440e+00,9.334868180e-01,2.246904801e-03
1.000271073e+01,9.336569546e-01,6.956417265e-03
1.001428092e+01,9.342100402e-01,1.618918028e-02
1.003508931e+01,9.352206204e-01,2.542594673e-02
1.006512810e+01,9.367146878e-01,3.464870491e-02
1.010437989e+01,9.387275841e-01,4.385099278e-02
1.015282137e+01,9.413020365e-01,5.302714311e-02
1.021042362e+01,9.444853091e-01,6.217162715e-02
1.027715224e+01,9.483255608e-01,7.127896429e-02
1.035296735e+01,9.528673625e-01,8.034370517e-02
1.043782365e+01,9.581463311e-01,8.936042916e-02
1.053167041e+01,9.641828568e-01,9.832374574e-02
1.063445155e+01,9.709749678e-01,1.072282969e-01
1.074610564e+01,9.784904733e-01,1.160687602e-01
1.086656594e+01,9.866586982e-01,1.248398515e-01
1.099576047e+01,9.953623616e-01,1.335363283e-01
1.113361200e+01,1.004430476e+00,1.421529928e-01
1.128003813e+01,1.013633515e+00,1.506846949e-01
1.143495136e+01,1.022682481e+00,1.591263352e-01
1.159825910e+01,1.031233752e+00,1.674728682e-01
1.176986374e+01,1.038901548e+00,1.757193055e-01
1.194966270e+01,1.045279358e+00,1.838607181e-01
1.213754854e+01,1.049970460e+00,1.918922401e-01
1.233340895e+01,1.052625882e+00,1.998090712e-01
1.253712687e+01,1.052985913e+00,2.076064795e-01
1.274858055e+01,1.050919311e+00,2.152798048e-01
1.296764359e+01,1.046453305e+00,2.228244607e-01
1.319418508e+01,1.039788130e+00,2.302359379e-01
1.342806960e+01,1.031292246e+00,2.375098067e-01
1.366915737e+01,1.021478109e+00,2.446417196e-01
1.391730430e+01,1.010962120e+00,2.516274141e-01
1.417236207e+01,1.000415085e+00,2.584627148e-01
1.443417823e+01,9.905102602e-01,2.651435363e-01
1.470259631e+01,9.818749395e-01,2.716658858e-01
1.497745588e+01,9.750491727e-01,2.780258648e-01
1.525859265e+01,9.704526184e-01,2.842196721e-01
1.554583860e+01,9.683586053e-01,2.902436058e-01
1.583902204e+01,9.688737345e-01,2.960940655e-01
1.613796774e+01,9.719219899e-01,3.017675543e-01
1.644249703e+01,9.772342016e-01,3.072606815e-01
1.675242789e+01,9.843463970e-01,3.125701637e-01
1.706757508e+01,9.926132644e-01,3.176928277e-01
1.738775025e+01,1.001244350e+00,3.226256116e-01
1.771276202e+01,1.009369042e+00,3.273655673e-01
1.804241616e+01,1.016130575e+00,3.319098617e-01
1.837651562e+01,1.020799438e+00,3.362557788e-01
1.871486072e+01,1.022885725e+00,3.404007211e-01
1.905724924e+01,1.022223515e+00,3.443422113e-01
1.940347654e+01,1.019003290e+00,3.480778935e-01
1.975333568e+01,1.013741547e+00,3.516055350e-01
2.010661756e+01,1.007194957e+00,3.549230273e-01
2.046311103e+01,1.000241134e+00,3.580283878e-01
2.082260301e+01,9.937532536e-01,3.609197603e-01
2.118487864e+01,9.884908967e-01,3.635954167e-01
2.154972140e+01,9.850194153e-01,3.660537579e-01
2.191691323e+01,9.836604706e-01,3.682933144e-01
2.228623465e+01,9.844709523e-01,3.703127479e-01
2.265746494e+01,9.872466823e-01,3.721108512e-01
2.303038222e+01,9.915493759e-01,3.736865497e-01
2.340476359e+01,9.967575648e-01,3.750389016e-01
2.378038530e+01,1.002141990e+00,3.761670986e-01
2.415702284e+01,1.006961922e+00,3.770704665e-01
2.453445111e+01,1.010571578e+00,3.777484652e-01
2.491244452e+01,1.012518286e+00,3.782006896e-01
2.529077714e+01,1.012610936e+00,3.784268694e-01
2.566922286e+01,1.010941796e+00,3.784268694e-01
2.604755548e+01,1.007856584e+00,3.782006896e-01
2.642554889e+01,1.003881842e+00,3.777484652e-01
2.680297716e+01,9.996289065e-01,3.770704665e-01
2.717961470e+01,9.956963197e-01,3.761670986e-01
2.755523641e+01,9.925880018e-01,3.750389016e-01
2.792961778e+01,9.906566169e-01,3.736865497e-01
2.830253506e+01,9.900743357e-01,3.721108512e-01
2.867376535e+01,9.908287028e-01,3.703127479e-01
2.904308677e+01,9.927396354e-01,3.682933144e-01
2.941027860e+01,9.954934553e-01,3.660537579e-01
2.977512136e+01,9.986898729e-01,3.635954167e-01
3.013739699e+01,1.001897147e+00,3.609197603e-01
3.049688897e+01,1.004709241e+00,3.580283878e-01
3.085338244e+01,1.006797465e+00,3.549230273e-01
3.120666432e+01,1.007948965e+00,3.516055350e-01
3.155652346e+01,1.008086169e+00,3.480778935e-01
3.190275076e+01,1.007264923e+00,3.443422113e-01
3.224513928e+01,1.005653406e+00,3.404007211e-01
3.258348438e+01,1.003497574e+00,3.362557788e-01
3.291758384e+01,1.001080722e+00,3.319098617e-01
3.324723798e+01,9.986844740e-01,3.273655673e-01
3.357224975e+01,9.965566172e-01,3.226256116e-01
