#1k,2f(k),3kw
8.755602643e-04,3.122783278e-01,2.246904801e-03
4.612700113e-03,3.122787030e-01,5.229063397e-03
1.133375687e-02,3.122806643e-01,8.212515093e-03
2.103620733e-02,3.122864158e-01,1.119144215e-02
3.371443550e-02,3.122991489e-01,1.416375736e-02
4.936090754e-02,3.123230711e-01,1.712763020e-02
6.796628638e-02,3.123634712e-01,2.008127492e-02
8.951945782e-02,3.124267918e-01,2.302292128e-02
1.140075427e-01,3.125209009e-01,2.595080916e-02
1.414159063e-01,3.126551711e-01,2.886318771e-02
1.717281678e-01,3.128407315e-01,3.175831581e-02
2.049262107e-01,3.130905633e-01,3.463446283e-02
2.409901933e-01,3.134194416e-01,3.748990963e-02
2.798985608e-01,3.138436621e-01,4.032294945e-02
3.216280586e-01,3.143805550e-01,4.313188899e-02
3.661537456e-01,3.150478657e-01,4.591504936e-02
4.134490096e-01,3.158631343e-01,4.867076708e-02
4.634855830e-01,3.168432148e-01,5.139739508e-02
5.162335598e-01,3.180040365e-01,5.409330370e-02
5.716614133e-01,3.193606420e-01,5.675688162e-02
6.297360152e-01,3.209274737e-01,5.938653686e-02
6.904226553e-01,3.227188353e-01,6.198069772e-02
7.536850621e-01,3.247494442e-01,6.453781370e-02
8.194854247e-01,3.270349929e-01,6.705635644e-02
8.877844152e-01,3.295926627e-01,6.953482066e-02
9.585412125e-01,3.324415562e-01,7.197172502e-02
1.031713526e+00,3.356030357e-01,7.436561301e-02
1.107257622e+00,3.391009752e-01,7.671505384e-02
1.185128350e+00,3.429619410e-01,7.901864330e-02
1.265279166e+00,3.472153212e-01,8.127500455e-02
1.347662166e+00,3.518934240e-01,8.348278901e-02
1.432228112e+00,3.570315625e-01,8.564067712e-02
1.518926458e+00,3.626681365e-01,8.774737914e-02
1.607705388e+00,3.688447171e-01,8.980163593e-02
1.698511839e+00,3.756061366e-01,9.180221969e-02
1.791291537e+00,3.830005774e-01,9.374793470e-02
1.885989030e+00,3.910796513e-01,9.563761805e-02
1.982547719e+00,3.998984558e-01,9.747014029e-02
2.080909892e+00,4.095155871e-01,9.924440616e-02
2.181016759e+00,4.199930875e-01,1.009593552e-01
2.282808488e+00,4.313962957e-01,1.026139624e-01
