#1k,2f(k),3kw
8.755602643e-04,3.122783285e-01,2.246904801e-03
4.612700113e-03,3.122787248e-01,5.229063397e-03
1.133375687e-02,3.122807958e-01,8.212515093e-03
2.103620733e-02,3.122868660e-01,1.119144215e-02
3.371443550e-02,3.123002896e-01,1.416375736e-02
4.936090754e-02,3.123254536e-01,1.712763020e-02
6.796628638e-02,3.123677922e-01,2.008127492e-02
8.951945782e-02,3.124337736e-01,2.302292128e-02
1.140075427e-01,3.125310487e-01,2.595080916e-02
1.414159063e-01,3.126683851e-01,2.886318771e-02
1.717281678e-01,3.128557793e-01,3.175831581e-02
2.049262107e-01,3.131044712e-01,3.463446283e-02
2.409901933e-01,3.134269160e-01,3.748990963e-02
2.798985608e-01,3.138366913e-01,4.032294945e-02
3.216280586e-01,3.143483380e-01,4.313188899e-02
3.661537456e-01,3.149771622e-01,4.591504936e-02
4.134490096e-01,3.157390401e-01,4.867076708e-02
4.634855830e-01,3.166502731e-01,5.139739508e-02
5.162335598e-01,3.177275260e-01,5.409330370e-02
5.716614133e-01,3.189878596e-01,5.675688162e-02
6.297360152e-01,3.204488493e-01,5.938653686e-02
6.904226553e-01,3.221287676e-01,6.198069772e-02
7.536850621e-01,3.240468021e-01,6.453781370e-02
8.194854247e-01,3.262232841e-01,6.705635644e-02
8.877844152e-01,3.286799101e-01,6.953482066e-02
9.585412125e-01,3.314399455e-01,7.197172502e-02
1.031713526e+00,3.345284064e-01,7.436561301e-02
1.107257622e+00,3.379722230e-01,7.671505384e-02
1.185128350e+00,3.418003883e-01,7.901864330e-02
1.265279166e+00,3.460440987e-01,8.127500455e-02
1.347662166e+00,3.507368914e-01,8.348278901e-02
1.432228112e+00,3.559147831e-01,8.564067712e-02
1.518926458e+00,3.616164106e-01,8.774737914e-02
1.607705388e+00,3.678831728e-01,8.980163593e-02
1.698511839e+00,3.747593693e-01,9.180221969e-02
1.791291537e+00,3.822923298e-01,9.374793470e-02
1.885989030e+00,3.905325220e-01,9.563761805e-02
1.982547719e+00,3.995336258e-01,9.747014029e-02
2.080909892e+00,4.093525544e-01,9.924440616e-02
2.181016759e+00,4.200494002e-01,1.009593552e-01
2.282808488e+00,4.316872745e-01,1.026139624e-01
2.386224240e+00,4.443320082e-01,1.042072389e-01
2.491202204e+00,4.580516674e-01,1.057382323e-01
2.597679638e+00,4.729158338e-01,1.072060277e-01
2.705592901e+00,4.889945881e-01,1.086097477e-01
2.814877495e+00,5.063571274e-01,1.099485533e-01
2.925468102e+00,5.250699386e-01,1.112216445e-01
3.037298625e+00,5.451944464e-01,1.124282602e-01
3.150302223e+00,5.667840543e-01,1.135676793e-01
3.264411357e+00,5.898805068e-01,1.146392207e-01
3.379557825e+00,6.145095216e-01,1.156422441e-01
3.495672806e+00,6.406756821e-01,1.165761500e-01
3.612686899e+00,6.683566407e-01,1.174403801e-01
3.730530168e+00,6.974967749e-01,1.182344179e-01
3.849132179e+00,7.280005572e-01,1.189577889e-01
3.968422045e+00,7.597260478e-01,1.196100607e-01
4.088328470e+00,7.924790866e-01,1.201908434e-01
4.208779786e+00,8.260089246e-01,1.206997899e-01
4.329704003e+00,8.600061717e-01,1.211365961e-01
4.451028844e+00,8.941039934e-01,1.215010008e-01
4.572681797e+00,9.278834241e-01,1.217927863e-01
4.694590152e+00,9.608834313e-01,1.220117782e-01
4.816681045e+00,9.926159397e-01,1.221578455e-01
4.938881505e+00,1.022585421e+00,1.222309010e-01
5.061118495e+00,1.050311951e+00,1.222309010e-01
5.183318955e+00,1.075355945e+00,1.221578455e-01
5.305409848e+00,1.097342257e+00,1.220117782e-01
5.427318203e+00,1.115981137e+00,1.217927863e-01
5.548971156e+00,1.131083740e+00,1.215010008e-01
5.670295997e+00,1.142570503e+00,1.211365961e-01
5.791220214e+00,1.150471640e+00,1.206997899e-01
5.911671530e+00,1.154920020e+00,1.201908434e-01
6.031577955e+00,1.156137652e+00,1.196100607e-01
6.150867821e+00,1.154417649e+00,1.189577889e-01
6.269469832e+00,1.150103845e+00,1.182344179e-01
6.387313101e+00,1.143570161e+00,1.174403801e-01
6.504327194e+00,1.135201471e+00,1.165761500e-01
6.620442175e+00,1.125377178e+00,1.156422441e-01
6.735588643e+00,1.114458201e+00,1.146392207e-01
6.849697777e+00,1.102777519e+00,1.135676793e-01
6.962701375e+00,1.090634103e+00,1.124282602e-01
7.074531898e+00,1.078289770e+00,1.112216445e-01
7.185122505e+00,1.065968409e+00,1.099485533e-01
7.294407099e+00,1.053856984e+00,1.086097477e-01
7.402320362e+00,1.042107765e+00,1.072060277e-01
7.508797796e+00,1.030841336e+00,1.057382323e-01
7.613775760e+00,1.020149985e+00,1.042072389e-01
7.717191512e+00,1.010101220e+00,1.026139624e-01
7.818983241e+00,1.000741194e+00,1.009593552e-01
7.919090108e+00,9.920979323e-01,9.924440616e-02
8.017452281e+00,9.841842736e-01,9.747014029e-02
8.114010970e+00,9.770004983e-01,9.563761805e-02
8.208708463e+00,9.705366389e-01,9.374793470e-02
8.301488161e+00,9.647744821e-01,9.180221969e-02
8.392294612e+00,9.596892879e-01,8.980163593e-02
8.481073542e+00,9.552512543e-01,8.774737914e-02
8.567771888e+00,9.514267569e-01,8.564067712e-02
8.652337834e+00,9.481793952e-01,8.348278901e-02
8.734720834e+00,9.454708724e-01,8.127500455e-02
8.814871650e+00,9.432617330e-01,7.901864330e-02
8.892742378e+00,9.415119821e-01,7.671505384e-02
8.968286474e+00,9.401816024e-01,7.436561301e-02
9.041458788e+00,9.392309858e-01,7.197172502e-02
9.112215585e+00,9.386212925e-01,6.953482066e-02
9.180514575e+00,9.383147469e-01,6.705635644e-02
9.246314938e+00,9.382748802e-01,6.453781370e-02
9.309577345e+00,9.384667245e-01,6.198069772e-02
9.370263985e+00,9.388569670e-01,5.938653686e-02
9.428338587e+00,9.394140651e-01,5.675688162e-02
9.483766440e+00,9.401083302e-01,5.409330370e-02
9.536514417e+00,9.409119804e-01,5.139739508e-02
9.586550990e+00,9.417991675e-01,4.867076708e-02
9.633846254e+00,9.427459802e-01,4.591504936e-02
9.678371941e+00,9.437304263e-01,4.313188899e-02
9.720101439e+00,9.447323971e-01,4.032294945e-02
9.759009807e+00,9.457336172e-01,3.748990963e-02
9.795073789e+00,9.467175809e-01,3.463446283e-02
9.828271832e+00,9.476694799e-01,3.175831581e-02
9.858584094e+00,9.485761241e-01,2.886318771e-02
