#1k,2f(k),3kw
8.755602643e-04,3.122783288e-01,2.246904801e-03
4.612700113e-03,3.122787319e-01,5.229063397e-03
1.133375687e-02,3.122808380e-01,8.212515093e-03
2.103620733e-02,3.122870105e-01,1.119144215e-02
3.371443550e-02,3.123006557e-01,1.416375736e-02
4.936090754e-02,3.123262183e-01,1.712763020e-02
6.796628638e-02,3.123691790e-01,2.008127492e-02
8.951945782e-02,3.124360143e-01,2.302292128e-02
1.140075427e-01,3.125343056e-01,2.595080916e-02
1.414159063e-01,3.126726262e-01,2.886318771e-02
1.717281678e-01,3.128606093e-01,3.175831581e-02
2.049262107e-01,3.131089355e-01,3.463446283e-02
2.409901933e-01,3.134293153e-01,3.748990963e-02
2.798985608e-01,3.138344535e-01,4.032294945e-02
3.216280586e-01,3.143379953e-01,4.313188899e-02
3.661537456e-01,3.149544632e-01,4.591504936e-02
4.134490096e-01,3.156991991e-01,4.867076708e-02
4.634855830e-01,3.165883270e-01,5.139739508e-02
5.162335598e-01,3.176387473e-01,5.409330370e-02
5.716614133e-01,3.188681678e-01,5.675688162e-02
6.297360152e-01,3.202951676e-01,5.938653686e-02
6.904226553e-01,3.219392896e-01,6.198069772e-02
7.536850621e-01,3.238211509e-01,6.453781370e-02
8.194854247e-01,3.259625656e-01,6.705635644e-02
8.877844152e-01,3.283866727e-01,6.953482066e-02
9.585412125e-01,3.311180679e-01,7.197172502e-02
1.031713526e+00,3.341829366e-01,7.436561301e-02
1.107257622e+00,3.376091897e-01,7.671505384e-02
1.185128350e+00,3.414266034e-01,7.901864330e-02
1.265279166e+00,3.456669641e-01,8.127500455e-02
1.347662166e+00,3.503642182e-01,8.348278901e-02
1.432228112e+00,3.555546282e-01,8.564067712e-02
1.518926458e+00,3.612769319e-01,8.774737914e-02
1.607705388e+00,3.675725013e-01,8.980163593e-02
1.698511839e+00,3.744854963e-01,9.180221969e-02
1.791291537e+00,3.820630053e-01,9.374793470e-02
1.885989030e+00,3.903551607e-01,9.563761805e-02
1.982547719e+00,3.994152176e-01,9.747014029e-02
2.080909892e+00,4.092995758e-01,9.924440616e-02
2.181016759e+00,4.200677224e-01,1.009593552e-01
2.282808488e+00,4.317820680e-01,1.026139624e-01
2.386224240e+00,4.445076396e-01,1.042072389e-01
2.491202204e+00,4.583115878e-01,1.057382323e-01
2.597679638e+00,4.732624574e-01,1.072060277e-01
2.705592901e+00,4.894291609e-01,1.086097477e-01
2.814877495e+00,5.068795859e-01,1.099485533e-01
2.925468102e+00,5.256787602e-01,1.112216445e-01
3.037298625e+00,5.458864943e-01,1.124282602e-01
3.150302223e+00,5.675544206e-01,1.135676793e-01
3.264411357e+00,5.907223606e-01,1.146392207e-01
3.379557825e+00,6.154139699e-01,1.156422441e-01
3.495672806e+00,6.416316549e-01,1.165761500e-01
3.612686899e+00,6.693508137e-01,1.174403801e-01
3.730530168e+00,6.985135458e-01,1.182344179e-01
3.849132179e+00,7.290220955e-01,1.189577889e-01
3.968422045e+00,7.607324363e-01,1.196100607e-01
4.088328470e+00,7.934485758e-01,1.201908434e-01
4.208779786e+00,8.269183159e-01,1.206997899e-01
4.329704003e+00,8.608313415e-01,1.211365961e-01
4.451028844e+00,8.948205593e-01,1.215010008e-01
4.572681797e+00,9.284675429e-01,1.217927863e-01
4.694590152e+00,9.613127025e-01,1.220117782e-01
4.816681045e+00,9.928703694e-01,1.221578455e-01
4.938881505e+00,1.022648387e+00,1.222309010e-01
5.061118495e+00,1.050171099e+00,1.222309010e-01
5.183318955e+00,1.075003935e+00,1.221578455e-01
5.305409848e+00,1.096777299e+00,1.220117782e-01
5.427318203e+00,1.115207250e+00,1.217927863e-01
5.548971156e+00,1.130110710e+00,1.215010008e-01
5.670295997e+00,1.141413543e+00,1.211365961e-01
5.791220214e+00,1.149150769e+00,1.206997899e-01
5.911671530e+00,1.153459232e+00,1.201908434e-01
6.031577955e+00,1.154563931e+00,1.196100607e-01
6.150867821e+00,1.152759923e+00,1.189577889e-01
6.269469832e+00,1.148391941e+00,1.182344179e-01
6.387313101e+00,1.141833837e+00,1.174403801e-01
6.504327194e+00,1.133469558e+00,1.165761500e-01
6.620442175e+00,1.123676877e+00,1.156422441e-01
6.735588643e+00,1.112814532e+00,1.146392207e-01
6.849697777e+00,1.101212931e+00,1.135676793e-01
6.962701375e+00,1.089168228e+00,1.124282602e-01
7.074531898e+00,1.076939304e+00,1.112216445e-01
7.185122505e+00,1.064747096e+00,1.099485533e-01
7.294407099e+00,1.052775685e+00,1.086097477e-01
7.402320362e+00,1.041174593e+00,1.072060277e-01
7.508797796e+00,1.030061827e+00,1.057382323e-01
7.613775760e+00,1.019527309e+00,1.042072389e-01
7.717191512e+00,1.009636398e+00,1.026139624e-01
7.818983241e+00,1.000433332e+00,1.009593552e-01
7.919090108e+00,9.919444504e-01,9.924440616e-02
8.017452281e+00,9.841811300e-01,9.747014029e-02
8.114010970e+00,9.771424065e-01,9.563761805e-02
8.208708463e+00,9.708172731e-01,9.374793470e-02
8.301488161e+00,9.651866699e-01,9.180221969e-02
8.392294612e+00,9.602251906e-01,8.980163593e-02
8.481073542e+00,9.559025326e-01,8.774737914e-02
8.567771888e+00,9.521847243e-01,8.564067712e-02
8.652337834e+00,9.490351572e-01,8.348278901e-02
8.734720834e+00,9.464154527e-01,8.127500455e-02
8.814871650e+00,9.442861875e-01,7.901864330e-02
8.892742378e+00,9.426075001e-01,7.671505384e-02
8.968286474e+00,9.413395960e-01,7.436561301e-02
