#1k,2f(k),3kw
8.755602643e-04,3.122783289e-01,2.246904801e-03
4.612700113e-03,3.122787349e-01,5.229063397e-03
1.133375687e-02,3.122808566e-01,8.212515093e-03
2.103620733e-02,3.122870741e-01,1.119144215e-02
3.371443550e-02,3.123008167e-01,1.416375736e-02
4.936090754e-02,3.123265545e-01,1.712763020e-02
6.796628638e-02,3.123697888e-01,2.008127492e-02
8.951945782e-02,3.124369996e-01,2.302292128e-02
1.140075427e-01,3.125357378e-01,2.595080916e-02
1.414159063e-01,3.126744913e-01,2.886318771e-02
1.717281678e-01,3.128627333e-01,3.175831581e-02
2.049262107e-01,3.131108987e-01,3.463446283e-02
2.409901933e-01,3.134303704e-01,3.748990963e-02
2.798985608e-01,3.138334694e-01,4.032294945e-02
3.216280586e-01,3.143334467e-01,4.313188899e-02
3.661537456e-01,3.149444804e-01,4.591504936e-02
4.134490096e-01,3.156816773e-01,4.867076708e-02
4.634855830e-01,3.165610833e-01,5.139739508e-02
5.162335598e-01,3.175997025e-01,5.409330370e-02
5.716614133e-01,3.188155269e-01,5.675688162e-02
6.297360152e-01,3.202275768e-01,5.938653686e-02
6.904226553e-01,3.218559531e-01,6.198069772e-02
7.536850621e-01,3.237219010e-01,6.453781370e-02
8.194854247e-01,3.258478855e-01,6.705635644e-02
8.877844152e-01,3.282576790e-01,6.953482066e-02
9.585412125e-01,3.309764612e-01,7.197172502e-02
1.031713526e+00,3.340309312e-01,7.436561301e-02
1.107257622e+00,3.374494311e-01,7.671505384e-02
1.185128350e+00,3.412620824e-01,7.901864330e-02
1.265279166e+00,3.455009320e-01,8.127500455e-02
1.347662166e+00,3.502001088e-01,8.348278901e-02
1.432228112e+00,3.553959864e-01,8.564067712e-02
1.518926458e+00,3.611273508e-01,8.774737914e-02
1.607705388e+00,3.674355666e-01,8.980163593e-02
1.698511839e+00,3.743647372e-01,9.180221969e-02
1.791291537e+00,3.819618498e-01,9.374793470e-02
1.885989030e+00,3.902768945e-01,9.563761805e-02
1.982547719e+00,3.993629444e-01,9.747014029e-02
2.080909892e+00,4.092761774e-01,9.924440616e-02
2.181016759e+00,4.200758180e-01,1.009593552e-01
2.282808488e+00,4.318239711e-01,1.026139624e-01
2.386224240e+00,4.445853109e-01,1.042072389e-01
2.491202204e+00,4.584265848e-01,1.057382323e-01
2.597679638e+00,4.734158794e-01,1.072060277e-01
2.705592901e+00,4.896215891e-01,1.086097477e-01
2.814877495e+00,5.071110196e-01,1.099485533e-01
2.925468102e+00,5.259485488e-01,1.112216445e-01
3.037298625e+00,5.461932674e-01,1.124282602e-01
3.150302223e+00,5.678960176e-01,1.135676793e-01
3.264411357e+00,5.910957621e-01,1.146392207e-01
3.379557825e+00,6.158152359e-01,1.156422441e-01
3.495672806e+00,6.420558733e-01,1.165761500e-01
3.612686899e+00,6.697920665e-01,1.174403801e-01
3.730530168e+00,6.989648997e-01,1.182344179e-01
3.849132179e+00,7.294756241e-01,1.189577889e-01
3.968422045e+00,7.611792849e-01,1.196100607e-01
4.088328470e+00,7.938790752e-01,1.201908434e-01
4.208779786e+00,8.273221539e-01,1.206997899e-01
4.329704003e+00,8.611977963e-01,1.211365961e-01
4.451028844e+00,8.951387958e-01,1.215010008e-01
4.572681797e+00,9.287269672e-01,1.217927863e-01
4.694590152e+00,9.615033619e-01,1.220117782e-01
4.816681045e+00,9.929833789e-01,1.221578455e-01
4.938881505e+00,1.022676356e+00,1.222309010e-01
5.061118495e+00,1.050108527e+00,1.222309010e-01
5.183318955e+00,1.074847542e+00,1.221578455e-01
5.305409848e+00,1.096526260e+00,1.220117782e-01
5.427318203e+00,1.114863309e+00,1.217927863e-01
5.548971156e+00,1.129678165e+00,1.215010008e-01
5.670295997e+00,1.140899091e+00,1.211365961e-01
5.791220214e+00,1.148563240e+00,1.206997899e-01
